78	155
87	76
88	62
98	201
169	287
171	273
173	437
175	455
178	503
196	578
216	870
225	944
230	954
231	984
232	984
235	984
246	1149
302	1265
362	1448
482	1699
522	1719
1205	2989
1388	3505
2207	5156
2327	4842
2486	4811
2726	6185
2926	25
2946	6421
3367	6025
3986	8286
3991	1658
4064	9160
4071	9193
4170	9400
4200	9607
4201	9608
4280	9700
4291	9701
4293	9716
4298	9731
4300	9752
4301	9786
4473	10269
4475	10275
4581	10750
4588	10772
4899	11890
4950	12036
4963	11652
4986	12263
5003	12506
5052	12665
5710	24849
5711	24849
5712	24849
5714	24851
5715	24851
5716	24851
