1	-70
8	130
10	55
11	55
12	-70
14	-70
15	130
16	205
17	-20
28	205
33	130
36	130
38	-20
40	-20
41	330
44	55
45	130
46	330
47	205
65	380
85	-70
130	-20
139	330
141	-70
148	-20
215	-70
267	55
297	205
331	55
357	205
361	205
394	380
400	130
405	130
406	55
440	205
490	205
493	205
495	380
618	330
718	-20
719	-20
796	130
1112	330
1222	330
1227	330
1377	330
1417	205
1519	-20
1537	-20
1581	-20
1637	-20
1638	-20
1657	-20
1977	330
2017	330
2057	330
2100	205
2817	405
3140	330
3430	-70
3433	-20
3483	280
3518	380
3519	355
3520	280
3521	305
3523	380
3524	-70
3525	-20
3537	380
3607	300
3614	395
3621	395
3625	280
3653	355
3656	355
3658	355
3690	405
3691	405
3692	405
3711	430
3805	330
3859	405
3979	480
4080	355
4197	1
4395	430
