249	0	1362110400
249	1	1362110400
269	1	1361592000
309	0	1361764800
409	0	1362110400
469	0	1362110400
509	0	1361764800
531	0	1362110400
532	0	1362110400
533	0	1362110400
533	1	1362110400
534	0	1362110400
540	1	1361592000
542	1	1361592000
543	1	1361592000
544	0	1362110400
545	1	1361592000
546	1	1361592000
547	1	1361592000
548	0	1362110400
550	0	1362110400
552	1	1361592000
553	1	1361592000
554	1	1361592000
555	1	1361592000
556	1	1361592000
557	1	1361592000
558	1	1361592000
560	1	1361592000
564	0	1362110400
565	0	1362110400
568	0	1361764800
574	1	1361592000
575	1	1361592000
576	1	1361592000
578	1	1361592000
580	0	1362110400
585	1	1361592000
595	1	1361592000
598	1	1361592000
599	1	1361592000
600	1	1361592000
601	1	1361592000
602	1	1361592000
603	0	1362110400
603	1	1362110400
604	1	1361592000
608	1	1361592000
615	0	1362110400
615	1	1362110400
616	0	1362110400
616	1	1362110400
619	1	1361592000
624	0	1362110400
624	1	1362110400
631	0	1362110400
631	1	1362110400
631	2	1362110400
631	3	1362110400
632	1	1361592000
649	0	1362110400
649	1	1362110400
649	2	1362110400
649	3	1362110400
650	1	1361592000
658	1	1361592000
668	1	1361592000
724	0	1362110400
724	1	1362110400
724	2	1362110400
724	3	1362110400
